=== SERIAL ===
Iter    Interp          Mover           Total
1       0.540000        0.400000        0.940000
2       0.530000        0.420000        0.950000
3       0.920000        0.460000        1.380000
4       0.450000        0.390000        0.840000
5       0.450000        0.400000        0.850000
6       0.450000        0.390000        0.840000
7       0.450000        0.390000        0.840000
8       0.450000        0.390000        0.840000
9       0.450000        0.390000        0.840000
10      0.450000        0.390000        0.840000

=== PARALLEL (4 threads) ===
Iter    Interp          Mover           Total
1       0.450000        0.410000        0.860000
2       0.460000        0.420000        0.880000
3       0.730000        0.430000        1.160000
4       0.450000        0.430000        0.880000
5       0.700000        0.430000        1.130000
6       0.720000        0.440000        1.160000
7       0.760000        0.430000        1.190000
8       0.770000        0.430000        1.200000
9       0.760000        0.430000        1.190000
10      0.600000        0.430000        1.030000
