Config,Cores,MPI_Ranks,OMP_Threads,IO_Time,Interp_Time,Mover_Time,Total_Pipeline
a,1,1,1,0.452436,0.109756,0.169003,0.731195
a,2,1,2,0.422752,0.110323,0.166525,0.699600
a,4,2,2,0.232577,0.059687,0.086888,0.379152
a,8,2,4,0.240930,0.063031,0.087945,0.391906
a,16,4,4,0.102731,0.032764,0.041824,0.177320
a,32,4,8,0.111175,0.037424,0.042194,0.190793
a,64,4,16,0.122850,0.044414,0.042422,0.209686
b,1,1,1,2.415445,0.600026,0.922448,3.937919
b,2,1,2,2.400568,0.602902,0.923248,3.926719
b,4,2,2,1.214481,0.306762,0.466927,1.988170
b,8,2,4,1.212937,0.310076,0.466448,1.989461
b,16,4,4,0.622284,0.156132,0.232222,1.010638
b,32,4,8,0.615620,0.160212,0.232611,1.008443
b,64,4,16,0.605304,0.169758,0.232907,1.007969
c,1,1,1,1.743256,0.597177,0.757478,3.097911
c,2,1,2,1.728110,0.602352,0.757436,3.087899
c,4,2,2,0.868861,0.311907,0.386800,1.567568
c,8,2,4,0.887182,0.322502,0.387233,1.596916
c,16,4,4,0.445653,0.157941,0.191794,0.795388
c,32,4,8,0.433065,0.174467,0.191555,0.799087
c,64,4,16,0.436834,0.212397,0.191775,0.841006
d,1,1,1,9.698869,3.285696,4.201602,17.186168
d,2,1,2,9.652016,3.293085,4.203339,17.148440
d,4,2,2,5.366921,1.684786,2.150019,9.201726
d,8,2,4,4.833166,1.726305,2.141004,8.700475
d,16,4,4,2.403152,0.798763,1.062396,4.264311
d,32,4,8,2.403081,0.835627,1.061616,4.300324
d,64,4,16,2.401170,0.870332,1.062155,4.333657
e,1,1,1,6.858517,2.342089,2.995008,12.195613
e,2,1,2,6.821361,2.410794,2.912146,12.144300
e,4,2,2,3.424243,1.300935,1.529900,6.255078
e,8,2,4,3.419018,1.447690,1.499114,6.365822
e,16,4,4,1.697251,0.702701,0.762184,3.162135
e,32,4,8,1.696247,0.878432,0.761513,3.336192
e,64,4,16,1.558234,1.074024,0.760005,3.392262
