config,NX,NY,N,Maxiter,threads,time_s
a,250,100,900000,10,1,.3571
a,250,100,900000,10,2,.3289
a,250,100,900000,10,4,.3157
a,250,100,900000,10,8,.3379
a,250,100,900000,10,16,.3346
b,250,100,5000000,10,1,1.9169
b,250,100,5000000,10,2,1.7456
b,250,100,5000000,10,4,1.7374
b,250,100,5000000,10,8,1.7519
b,250,100,5000000,10,16,1.7619
c,500,200,3600000,10,1,1.4040
c,500,200,3600000,10,2,1.3065
c,500,200,3600000,10,4,1.2639
c,500,200,3600000,10,8,1.2988
c,500,200,3600000,10,16,1.3089
d,500,200,20000000,10,1,7.6409
d,500,200,20000000,10,2,7.0028
d,500,200,20000000,10,4,6.9313
d,500,200,20000000,10,8,6.9870
d,500,200,20000000,10,16,6.9745
e,1000,400,14000000,10,1,6.0188
e,1000,400,14000000,10,2,5.2431
e,1000,400,14000000,10,4,5.0568
e,1000,400,14000000,10,8,5.3445
e,1000,400,14000000,10,16,6.1995
