NX,NY,NUM_Points,Approach,Threads,Interp_Time,Mover_Time,Total_Time
250,100,100,1,1,0.000115,0.000020,0.000135
250,100,100,2,1,0.000112,0.000018,0.000130
250,100,10000,1,1,0.003200,0.001350,0.004550
250,100,10000,2,1,0.003180,0.001340,0.004520
250,100,1000000,1,1,0.245000,0.160000,0.405000
250,100,1000000,2,1,0.244000,0.159000,0.403000
250,100,10000000,1,1,2.450000,1.600000,4.050000
250,100,10000000,2,1,2.440000,1.590000,4.030000
250,100,100000000,1,1,18.500000,11.700000,30.200000
250,100,100000000,2,1,18.450000,11.700000,30.150000
500,200,100,1,1,0.000435,0.000025,0.000460
500,200,100,2,1,0.000430,0.000025,0.000455
500,200,10000,1,1,0.003200,0.001380,0.004580
500,200,10000,2,1,0.003180,0.001380,0.004560
500,200,1000000,1,1,0.242000,0.160000,0.402000
500,200,1000000,2,1,0.241000,0.159000,0.400000
500,200,10000000,1,1,2.420000,1.600000,4.020000
500,200,10000000,2,1,2.410000,1.595000,4.005000
500,200,100000000,1,1,18.700000,11.800000,30.500000
500,200,100000000,2,1,18.650000,11.750000,30.400000
1000,400,100,1,1,0.003450,0.000070,0.003520
1000,400,100,2,1,0.003440,0.000070,0.003510
1000,400,10000,1,1,0.005500,0.002050,0.007550
1000,400,10000,2,1,0.005480,0.002030,0.007510
1000,400,1000000,1,1,0.252000,0.170000,0.422000
1000,400,1000000,2,1,0.250000,0.170000,0.420000
1000,400,10000000,1,1,2.520000,1.700000,4.220000
1000,400,10000000,2,1,2.510000,1.695000,4.205000
1000,400,100000000,1,1,25.200000,15.300000,40.500000
1000,400,100000000,2,1,25.100000,15.200000,40.300000
