NX,NY,NUM_Points,Approach,Threads,Interp_Time,Mover_Time,Total_Time
250,100,100,1,1,0.000089,0.000031,0.000119
250,100,100,2,1,0.000090,0.000018,0.000109
250,100,10000,1,1,0.000547,0.000703,0.001250
250,100,10000,2,1,0.000555,0.000690,0.001245
250,100,1000000,1,1,0.047313,0.067359,0.114673
250,100,1000000,2,1,0.047173,0.065736,0.112909
250,100,10000000,1,1,0.448947,0.651198,1.100145
250,100,10000000,2,1,0.449572,0.633851,1.083423
250,100,100000000,1,1,4.518648,6.363757,10.882405
250,100,100000000,2,1,4.488640,6.302805,10.791445
500,200,100,1,1,0.000318,0.000029,0.000346
500,200,100,2,1,0.000334,0.000018,0.000352
500,200,10000,1,1,0.000842,0.000694,0.001536
500,200,10000,2,1,0.000798,0.000644,0.001442
500,200,1000000,1,1,0.045845,0.063052,0.108897
500,200,1000000,2,1,0.047915,0.064952,0.112867
500,200,10000000,1,1,0.456128,0.633677,1.089805
500,200,10000000,2,1,0.453664,0.633396,1.087061
500,200,100000000,1,1,4.520269,6.259295,10.779564
500,200,100000000,2,1,4.564491,6.300065,10.864556
1000,400,100,1,1,0.001664,0.000038,0.001702
1000,400,100,2,1,0.001652,0.000025,0.001678
1000,400,10000,1,1,0.002453,0.000701,0.003154
1000,400,10000,2,1,0.002684,0.000695,0.003380
1000,400,1000000,1,1,0.077851,0.064081,0.141933
1000,400,1000000,2,1,0.079265,0.065505,0.144771
1000,400,10000000,1,1,0.751008,0.631712,1.382721
1000,400,10000000,2,1,0.732497,0.629649,1.362146
1000,400,100000000,1,1,7.556014,6.246104,13.802118
1000,400,100000000,2,1,7.649083,6.326080,13.975163
